file,function,line_range,current_behavior_summary,change_category,notes
outer_coordinate_layout.jl,OuterCoordinateLayout / make_layout,L45-64,Immutable descriptor of 3 outer-vector axes (trade_elasticity_mode/A_coordinate_mode/gp_coordinate_mode); validates the flexible+powered_aspace constraint,must be generalized,Add 4th axis (destination_scale_mode) — single source of truth every downstream fn reads
outer_coordinate_layout.jl,outer_dim,L67,Outer vector length D*Ddest (fixed) or D*Ddest+1 (flexible),must be generalized,Arithmetic changes to D*Ddest-Ddest under profiled scales; load-bearing for KNITRO var counts/checkpoints
outer_coordinate_layout.jl,decode_outer_unified,L130-165,"Generic outer-vector decode: w -> (xf,theta,mu,gp,z_nonpivot,A_nonpivot_native,eta_theta); calls pivot_expand_cheap to fill gravity pivot cell",must be generalized,Needs a second per-destination expand step analogous to the existing global pivot fill
outer_coordinate_layout.jl,reduce_to_w_unified,L174-181,Inverse of decode: full (theta,gp,logA D x Ddest) -> reduced outer vector w; seeds KNITRO starts from calibrated/checkpointed A,must be generalized,Must strip per-destination anchor cells in lockstep with decode
outer_coordinate_layout.jl,gradient_transform_unified,L194-202,Rescales shared z-space gradient into layout's search coordinates (gp chain rule + optional -theta for powered_aspace),shared formula needs new inputs,Needs extra per-destination Jacobian block; underlying z-space gradient itself unchanged
outer_coordinate_layout.jl,layout_fingerprint,L212-216,Stable string encoding layout identity for cache/checkpoint keys,must be generalized,Must encode new axis so old/new-format caches don't collide
outer_coordinate_layout.jl,dual_bank_zfree,L243-244,DualBank warm-start key: prepends eta_theta to z_nonpivot in flexible mode,shared formula needs new inputs,Vector it concatenates shrinks; function itself generic
outer_coordinate_layout.jl,decode_gp / encode_gp / rescale_gp_gradient,L85-112,gp_coord <-> raw gp conversion (raw or scaled_log) + gradient chain rule,unchanged,Orthogonal axis; no interaction with A-coordinate count
flexible_theta_aspace_production.jl,APivotXY / precompute_aspace_XY / z_from_a / a_from_z,(not individually line-read),Theta-decoupled z<->a per-cell log-linear map for the unified flexible-theta driver,legacy full reference only,Comparison/flexible-only scaffolding per outer_coordinate_layout.jl header; algebraic twin of cm_aspace_coordinate.jl
moments_gammanorm.jl,EK_moments_gammanorm_directgp!,L98 (D=D) and L196-244 (rectangular),"ORIGINAL production moments!: reconstructs Aod = Aod_theta .* cHat .* gauge-transform, then AodPow, fills K/G",shared formula needs new inputs,One of >15 independent copies of the Topic-2 gauge transform
moments_fast.jl,EK_moments_gammanorm_directgp_fast!,L124-200+,Byte-mirror of the original with UPow/UσPow served from a MuSigmaPowCache instead of recomputed,shared formula needs new inputs,Same Aod reconstruction formula inlined at ~L168
moments_fast.jl,MuSigmaPowCache / get_upow!,L83-112,Per-ctx cache for U^(-mu)/Uσ^(-mu) since mu is ctx-lifetime-invariant,unchanged,No A-layout dependency
autarky_cf.jl,EK_moments_gammanorm_directgp_autarkyCF!,L98-190,France-autarky specialized moments! variant; same Aod reconstruction then specialized O(W) autarky broadcast,shared formula needs new inputs,Inherits Topic-2 dependency via AodPow
autarky_cf.jl,autarky_cf_scalars / fill_autarky_cf_column! / enable_autarky_cf!,L53-96;223-225,France counterfactual price-index column construction and live wiring,legacy full reference / unchanged,Keyed off gp+AodPow not per-destination gauge directly
autarky_cf_v2.jl,EK_moments_gammanorm_directgp_autarkyCF_v2!,L134,v2 of the autarky specialized moments!,shared formula needs new inputs,Same relationship as autarky_cf.jl
gravity_elimination.jl,gravity_linear_coeffs,L25-27,"c = mu*q_tilde/N_obs, exactly linear in mu",unchanged,Pure data/mu; no per-destination structure
gravity_elimination.jl,gravity_from_logz,L38-48,Full level-A reconstruction (Topic-2 formula) + gravity_value call,shared formula needs new inputs,
gravity_elimination.jl,gravity_offset,L51,g_gravity at Aod_theta==1 (z==0) -- the affine offset; NOT calibration per CLAUDE.md,unchanged,Introduces a second arbitrary gauge alongside the new per-destination anchor -- flag in design doc
gravity_elimination.jl,PivotGravityElim / build_pivot_elimination,L53-78,Chooses ONE global pivot cell via argmax|c| over whole D*Ddest block; returns affine z_free->full z map,must be generalized,Global pivot elimination must compose with new per-destination elimination
gravity_elimination.jl,pivot_expand / pivot_reduce,L81-92,"O(D*Ddest) full expand/reduce given a built PivotGravityElim",unchanged,Mechanism itself unchanged; a second analogous expand/reduce needed for per-destination anchors
gravity_elimination.jl,NullspaceGravityElim / nullspace_expand / nullspace_reduce,L94-126,Orthonormal-nullspace alternative pivot parameterization,legacy full reference only,Only test_gravity_elimination.jl references this; not on production path
gravity_elimination.jl,PivotGravityElimCache / build_pivot_elimination_cheap,L153-187,Theta-invariant cached pivot (pivot_lin/other_idx/slope computed once; affine g0(mu) fit from 2 probes),must be generalized,ACTUAL hot-path struct used by outer_coordinate_layout.jl; anchor composition belongs here if done production-side
gravity_elimination.jl,assert_pivot_layout,L199-204,"Throws DimensionMismatch if z_free length != D*Ddest-1",must be generalized,Length invariant changes under profiled scales
gravity_elimination.jl,pivot_expand_cheap / pivot_reduce_cheap,L210-236,"O(1) incremental expand given cached pgc + current mu; reduce drops pivot coordinate",must be generalized,Hot-path per-FG-call function; would grow the per-destination expand step
gravity_elimination.jl,pivot_elim_from_cache,L250-254,Adapts cache back into original PivotGravityElim shape for D=20 C+/buffered consumers,shared formula needs new inputs,Inputs (pgc) would carry new fields
gravity_elimination.jl,_ctx_ddest,L30,"Ddest = ctx.D unless row_idx excludes ROW as destination (CM+ZC extension)",unchanged,Reusable as-is for active-destination count
winners.jl,factual_prices,L22-31,"Recovers price[w,o,d]/Aod/AodPow via the same gauge-transform formula as moments_gammanorm.jl, validated against hFunction!",shared formula needs new inputs,Duplicate #2 of the Topic-2 formula
winners.jl,compute_winners,L~40+ (grep hit only),Winner(o,d,draw) array recovery built on factual_prices,shared formula needs new inputs,Transitive dependency via factual_prices
cm_aspace_coordinate.jl,precompute_cm_aspace_xy,L61-68,"Ctx-only constants X=(wHat*tau)/(wHat[1,1]*tau[1,:]'), Y=lambda/lambda[1,:]' logged -- same objects as Topic-2 gauge formula",shared formula needs new inputs,Restricted-family-driver twin of flexible_theta_aspace_production.jl's APivotXY
cm_aspace_coordinate.jl,cm_z_from_a / cm_a_from_z,L74-86,Per-cell log-linear a<->z coordinate map at fixed theta for restricted-family drivers,shared formula needs new inputs,Same per-cell map; would need per-destination anchor awareness
cm_aspace_coordinate.jl,cm_fixed_theta,L72,"1/ctx.fixed_vals[1], matching build_pivot_elimination's implicit default",unchanged,
cm_aspace_coordinate.jl,cm_w0_from_calibration,L98-109,"Builds fresh w0=[gp;A_nonpivot] from ctx.theta0_up[ctx.free_idx] (the GENUINE calibrated point, not zfree=0)",must be generalized,Would need to also strip per-destination anchor cell(s) before pivot_reduce
compressed_moments.jl,CompressedFactual (struct),L132-147,"Compressed factual representation: winner/wval (winner-form bilateral block), Pmat (D x D_dest observed shares = lambda_od), denom (per-destination normalization), gdiv/nrm/PMM/SW",must be generalized,Concrete structure encoding one normalization constraint per destination -- shape changes if a moment is removed per destination
structured_moment_build.jl,materialize_dense_factual_structured!,L163-169,Rank-one + winner-scatter dense factual reconstruction from a CompressedFactual (drop-in for materialize_dense_factual!),shared formula needs new inputs,Only if moment-column layout changes (one fewer column per destination)
structured_moment_build.jl,fill_K_directgp!,L181-190,"K[s] = theta_full[3+D]*SamplingWeights[s] -- the France gp/counterfactual scalar column",unchanged,Not A_od; no per-destination structure
gravity_tariff.jl,precompute_q_tilde,L62,Precomputes q_tilde from tariff matrix tau,unchanged,
gravity_tariff.jl,gravity_value,L80,Single scalar gravity moment across whole A block given tau/AodPow/q_tilde/N_obs,unchanged,Consumes AodPow only; orthogonal to A-coordinate reparam
gravity_tariff.jl,gravity_grad_free!,L101,Closed-form gravity gradient in free coordinates,unchanged,
economic_operator.jl,economic_operator_workspace,L49,Thin wrapper constructing EconomicFGWorkspace(cf),unchanged,
economic_operator.jl,economic_forward!,L62-67,"out[s]=sum_j lambda_E[j]*E_sj via compressed_dual_contraction!, winner-compressed O(W*Ddest)",unchanged,Generic over length(lambda_E); no A-coordinate-count dependency
economic_operator.jl,economic_transpose!,L81-86,"grad_E[j]=sum_s w_s*E_sj via compressed_transpose_contraction!, the winner-scatter transpose",unchanged,Same reasoning as economic_forward!
core_exact_hessian.jl,build_winner_pair_ctx,L373,Builds WinnerPairHessCtx from a CompressedFactual,unchanged,Operates on cf's compressed winner representation only
core_exact_hessian.jl,winner_pair_hessian!,L418,The H_EE (economic self-Hessian) kernel proper,unchanged,No direct A-coordinate-count dependency; inherits Topic 2/4 transitively via cf
core_exact_hessian.jl,build_winner_pair_parallel_workspace,L601,Parallel workspace construction for the threaded H_EE path,unchanged,
core_exact_hessian.jl,hessian_core_winner_pair!,L716,Threaded entry point for H_EE,unchanged,
winner_pair_cross_hessian.jl,winner_pair_cross_hessian_fill!,L118,Dispatch entry for H_EC cross-Hessian fill,unchanged,Operates on cf + family restriction operator's own column structure
winner_pair_cross_hessian.jl,winner_pair_cross_hessian_cm_block!,L198,H_EC block for CM-grid restriction,unchanged,
winner_pair_cross_hessian.jl,winner_pair_cross_hessian_zc_prep! / _zc_block!,L324;353,H_EZ block prep/fill for ZC restriction,unchanged,
winner_pair_cross_hessian.jl,winner_pair_cross_hessian_colsum! / _esum!,L443;510,Column-sum / E-sum support kernels for cross-Hessian assembly,unchanged,
winner_pair_cross_hessian.jl,bin_zc_cross_hessian_fill! / _block!,L605;641,H_CZ (CM x ZC) cross-term assembly,unchanged,
threaded_cross_hessian.jl,winner_pair_cross_hessian_fill_threaded! / _zc_block_threaded! / bin_zc_..._threaded!,L110;214;300,Threaded duplicates of the winner_pair_cross_hessian.jl kernels,unchanged,
hcz_sparse_spmm_candidate_2026-07-29.jl,bin_zc_cross_hessian_fill_sparse!,L60,Sparse-SpMM candidate backend for H_CZ,unchanged,Experimental backend; same classification as dense H_CZ kernels
cm_hessian_architectures.jl,_cm_cross_hessian_wants_winner_bin / _wants_direct_hcz / _zc_cross_hessian_wants_winner_bin,L915;934;950;1517,Backend-selection predicates (dense vs winner-bin vs direct HCZ),unchanged,Selection logic only, not math
c13_schur_block_elimination.jl,schur_solve,L78,"Schur-complement linear solve consuming assembled H_EE,H_EC,H_CC blocks",unchanged,Downstream consumer; block sizes change but formula itself generic
composite_gradient.jl,composite_gradient_at,L303,Original/reference outer-gradient-at-a-point driver; dispatches into LFix machinery,shared formula needs new inputs,Coordinate vector shrinks under profiled design
lfix_factorized_workspace.jl,composite_gradient_at_Cplus,L354,"THE shared numerical gradient kernel every layout/family reuses, per outer_coordinate_layout.jl's own docstring",shared formula needs new inputs,Central site: needs to know which A cells are anchors (no perturbation direction) vs free
lfix_factorized_workspace.jl,a_block_fd_component_Cplus! / lfix_incremental_at_Cplus!,L326;298,Finite-difference / incremental A-block gradient component helpers used by composite_gradient_at_Cplus,shared formula needs new inputs,Same reasoning as parent kernel
cm_frechet_cplus.jl,composite_gradient_at_Cplus_frechet / _fast_frechet,L162;204,Common-Frechet family's thin Cplus wrapper stripping its own trailing restriction params first,shared formula needs new inputs,Thin pass-through to the shared kernel; small edit but touches every family file
cm_meanzc_cplus.jl,composite_gradient_at_Cplus_cm_meanzc,L66,CM+ZC family's Cplus wrapper,shared formula needs new inputs,
cm_originzc_cplus.jl,composite_gradient_at_Cplus_originzc,L45,Origin-ZC family's Cplus wrapper,shared formula needs new inputs,
lfix_cm_cplus.jl,composite_gradient_at_Cplus_from_cache / _cm,L77;155,Flexible-CM family's Cplus wrapper(s),shared formula needs new inputs,
lfix_kbplus.jl / lfix_base_workspace_pooled.jl / lfix_pTsigma_only.jl / lfix_kbplus_workspace.jl / lfix_buffer_reuse.jl / lfix_cm_aware.jl / composite_gradient_fast.jl / gradient_workspace.jl,various composite_gradient_at_* variants,L382;22;647;318;136;163;111;214,Older/alternate gradient backend implementations found in the same sweep,legacy full reference only,Superseded by composite_gradient_at_Cplus per recent file headers; confirm production call sites before editing
winner_switching.jl / winner_certificate.jl,(module-level winner-switch detection),n/a (files not individually line-read),Detects winner switches / builds switch certificates from a candidate A/theta point,shared formula needs new inputs,Inlines the Topic-2 gauge reconstruction transitively via factual_prices-equivalent logic
context.jl,ctx construction (free_idx),L48,"free_idx = vcat(3+D, Aod_offset+1:Aod_offset+D^2) -- gp + every A_od cell, D=4 fixed-size context",must be generalized,1 of 4 independent duplicate free_idx constructions
context_scaled.jl,ctx construction (free_idx),L69,Same free_idx pattern for the scaled context builder,must be generalized,
context_real_d20.jl,ctx construction (free_idx),L122,Same free_idx pattern for the real-D20 rectangular context builder,must be generalized,
qmc_context_real_d20.jl,ctx construction (free_idx),L416,Same free_idx pattern for the QMC real-D20 context builder,must be generalized,
cm_originzc_target_layout.jl,SharedByPowerLayout / OriginByPowerLayout,L26;45,ZC-restriction target grouping layout (MeanZCTargetLayout) -- unrelated to A-coordinate layout,unchanged,Do not conflate with OuterCoordinateLayout despite the shared word "layout"
infeasibility_screen.jl,order_destinations / screen_hard_winners / build_extreme_draw_witness / query_witness / infeasible_result,L276;350;434;465;525,Original dense per-(o,d) feasibility screening machinery on reconstructed price/AodPow matrix,shared formula needs new inputs,Inherits Topic-2 dependency transitively; own per-(o,d) logic largely unaffected
fast_range_screen.jl,envelope_prewinner_screen / screen_hard_winners_ranged / range_screen_standalone / evaluate_fullA_screened_compressed_with_cf / build_ranged_screen_context / infeasible_result_ranged / evaluate_fullA_screened_ranged,L235;299;491;572;797;814;868,Current production-path compressed/windowed feasibility screens; hot-path entry evaluate_fullA_screened_ranged consumes decode_outer_unified's xf output,shared formula needs new inputs,Same transitive-dependency reasoning
flexible_theta_aspace_production.jl,screened_eval_flexible_A / _verify,L142;153,Screened-evaluation entry points for the powered-aspace flexible-theta layout,shared formula needs new inputs,
flexible_theta.jl,screened_eval_flexible,L222,Screened-evaluation entry point for legacy-z flexible-theta layout,shared formula needs new inputs,
c10_d20_production_driver.jl,screened_eval,L353,Fixed-theta/legacy-z screened-evaluation entry point,shared formula needs new inputs,
cm_screen_bridge.jl,cm_screen_precheck! / archC_base_state_screened / archC_verified_state_screened / cm_production_value_verified_screened / cm_meanzc_production_value_verified_screened / cm_originzc_production_value_verified_screened,L110;167;180;195;212;229,Per-family screened-verification entry points the production checkpointed drivers call,shared formula needs new inputs,
cm_frechet_cplus.jl,archC_frechet_verified_state_screened / cm_frechet_production_value_verified_screened,L320;334,Common-Frechet family's screened-verification entry points,shared formula needs new inputs,
c10_d20_production_driver.jl,save_checkpoint / load_checkpoint / guard_checkpoint_path,L257;263;297,"D20CheckpointV4 schema save/load/guard, unrestricted-family legacy (pre-OuterCoordinateLayout)",legacy full reference only,Check whether run_polish_checkpointed_unified still calls into this for backward-compat
cm_checkpoint.jl,save_cm_checkpoint (V6/V8/V9) / upgrade_schema* chain,L407-505,"Checkpoint schema versions + upgrade chain for flexible_cm/common_frechet/cm_meanzc families",must be generalized,Schema bump + new upgrade_schemaN_to_M function needed under profiled scales; well-established pattern (3+ prior precedents)
cm_checkpoint.jl,run_cm_upper_checkpointed / run_cm_lower_checkpointed,L592;1264,"Real production entry point for 3 of 5 families, dispatches via marginal_restriction/is_meanzc",must be generalized,Calls prepare_production_run(family_tag,...) at L915-922
cm_originzc_checkpoint.jl,save_cm_checkpoint (V5/V7/V10) / upgrade chain,L106-425,Checkpoint schema versions + upgrade chain for the origin_zc family,must be generalized,Same reasoning as cm_checkpoint.jl
cm_originzc_checkpoint.jl,run_originzc_upper_checkpointed / _lower_checkpointed,L464;840,Real production entry point for origin_zc family,must be generalized,
c10_d20_production_driver_unified.jl,build_unified_ctx,L114,Builds the unified-driver ctx given an OuterCoordinateLayout,must be generalized,
c10_d20_production_driver_unified.jl,run_polish_checkpointed_unified,L130,"Real production entry point for unrestricted family; ONLY driver fully wired to OuterCoordinateLayout end-to-end",must be generalized,Calls prepare_production_run(:unrestricted,...) at L214
operator_psi_bundle.jl,OperatorPsiBundle (struct),L63-101,"Concrete no-dense-G/no-H bundle type: payoff, grav_col, economic_state (aliases core_cf_ref), restriction_state fields",unchanged,Sized by M/outer_constr_index (inner-solve dims), no A-layout-dependent field
operator_psi_bundle.jl,select_G_from_H,L106-111,Intentionally throws -- fail-fast for the no-dense-G invariant,unchanged,
operator_psi_bundle.jl,CS.inner_loop_number_variables / _lower_bounds / _initial_values / _complementarity_constraints,L118-124,Dispatch methods mirroring PsiObjectiveBundleImplicit's for the inner KNITRO solve,unchanged,
operator_psi_bundle.jl,prime_operator!,L144-155,"Shared priming step for all 4 restricted families: builds cf via cf_build, fills payoff via fill_K_directgp!, fills gravity column, publishes core_cf_ref",shared formula needs new inputs,Transitively via cf_build(theta_econ,ctx) which depends on Topic-2 reconstruction
compressed_live.jl,build_unrestricted_operator_ctx,L447,Family builder for :unrestricted -- constructs the OperatorPsiBundle for the unrestricted family,shared formula needs new inputs,Transitive via cf_build/moments-equivalent wrapper
cm_production_bundle.jl,build_cm_production_context,L65,Family builder for :flexible_cm,shared formula needs new inputs,
cm_frechet_level.jl,build_cm_frechet_production_context,L306,Family builder for :common_frechet,shared formula needs new inputs,
cm_meanzc_production.jl,build_cm_meanzc_production_context,L151,Family builder for :cm_meanzc,shared formula needs new inputs,
cm_originzc_production.jl,build_originzc_production_context,L48,Family builder for :origin_zc,shared formula needs new inputs,
production_bundle_api.jl,RunPurpose / ProductionPurpose / DenseReferencePurpose,L26-49,Typed (not stringly-typed) marker hierarchy for why a bundle is being constructed,unchanged,Purely structural
production_bundle_api.jl,ProductionContext / DenseReferenceContext (structs),L88-108,Type-safe wrapper types; structurally distinct so a function typed for one cannot accept the other,unchanged,
production_bundle_api.jl,prepare_production_run,L168-181,"The one family-agnostic production factory: builds inner ctx, validates OperatorPsiBundle, wraps in ProductionContext, derives manifest, asserts invariant",unchanged,Called by all 3 real production drivers
production_bundle_api.jl,assert_production_operator_bundle!,L205-244,Fatal live assertion that no legacy dense fields/dense-G access/dense-reference constructions exist,unchanged,
production_bundle_api.jl,derive_backend_manifest / write_backend_manifest_atomic,L258-304;374-384,Live backend manifest derivation + atomic JSON write,unchanged,
production_bundle_api.jl,_resolve_bundle,L127-133,Duck-types across family context shapes (.ctx_cm.obj vs .obj) to locate the bundle,unchanged,
gravity_elimination.jl,(module-level: CLAUDE.md warning topic),n/a,"zfree=0 through pivot_expand reconstructs A_od approx 1 in every free cell -- NOT the model's calibrated A_od (which spans ~11 orders of magnitude at real D=20)",new recovery/reporting only,No existing function currently distinguishes/labels this; a profiled-scales design doc or diagnostic should explicitly document both gauge points (pivot zero AND new per-destination anchor) are non-calibration reference points
(none found),gravity_sample_mask / exclude_diagonal_gravity / offdiag_mask,n/a,Topic-16 shared gravity-eligibility-mask machinery described in the task prompt as possibly just-added on production branch,new recovery/reporting only,"rg across entire worktree returned ZERO hits at this worktree's cd17235 base -- does not exist here; re-check production/fullA-exact HEAD before finalizing design"
(none found),rho_from_gp / GT_from_gp,n/a,Named welfare/GT pipeline functions assumed by task background,new recovery/reporting only,No such names exist anywhere in this worktree; GT/welfare figures are computed ad hoc in diagnostic/campaign scripts outside this repo path
