family,column,production_backend,shared_primitive,default_status,dense_reference_available,d20_gate,reads_composite_G_or_dense_E
unrestricted,economic_moment_construction,build_economic_moment_state!/build_compressed_factual!,build_economic_moment_state! (compressed_factual_buffer_reuse.jl),shared_all_five,yes (dense :dense evaluate_fullA_fast path),PASS (no_dense_g_full_family_audit_d20),no
unrestricted,outer_A_gradient,economic_A_gradient! (:shared),economic_A_gradient!/EconomicAGradientWorkspace/LFixBaseWorkspace (shared_a_gradient.jl),FLIPPED this session (was :cplus),yes (:cplus/:buffered/:pooled/:aplus retained explicit),PASS (real D20 W80000 driver smoke 9/9),no
unrestricted,economic_FG,compressed_cc_value_grad! (operator-native since Addendum Part A),economic_forward!/economic_transpose! equivalent (compressed-native; predates operator_*.jl naming),shared_all_five (by construction -- no dense/operator branch exists for this family),yes (moment_representation=:dense evaluate_fullA_fast path),PASS,no
unrestricted,restriction_FG,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
unrestricted,H_EE,exact core Hessian (dense; unrestricted has no restriction block so H=H_EE only),core_exact_hessian.jl fill_core_hessian_upper! (shared_winner_pair lineage),shared_all_five,n/a (single backend),PASS,no (compressed-native factual state, not composite G)
unrestricted,H_ER,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
unrestricted,H_RR,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable
flexible_cm,economic_moment_construction,build_economic_moment_state!,build_economic_moment_state! (compressed_factual_buffer_reuse.jl),shared_all_five,yes (:dense_reference moments! path),PASS,no
flexible_cm,outer_A_gradient,economic_A_gradient! (:shared_inplace_pooled),economic_A_gradient!/EconomicAGradientWorkspace/LFixBaseWorkspace (shared_a_gradient.jl),shared_default (pre-existing this phase),yes (legacy pooled gradient retained),PASS,no
flexible_cm,economic_FG,cm_lookup (CM_INNER_FG_BACKEND_DEFAULT),economic operator (shared_economic_operator) via cm_lookup dispatch,shared_default (pre-existing),yes (:dense_reference explicit),PASS,no
flexible_cm,restriction_FG,cm_lookup (bin-lookup, family-specific),family-specific operator (cm_lookup_kernels.jl),shared_default (pre-existing),yes (:dense_reference explicit),PASS,no
flexible_cm,H_EE,exact_winner_pair_parallel,shared winner-pair core Hessian (core_exact_hessian.jl),shared_all_five,yes,PASS,no
flexible_cm,H_ER,winner_bin (CM_CROSS_HESSIAN_BACKEND_DEFAULT),winner_pair_cross_hessian_fill!/_cm_block! (shared with common-Frechet's CM-grid block),FLIPPED prior phase (2026-07-27 winner-aware-HER),yes (:dense_reference explicit),PASS (D4 36/36 D20 8/8),no
flexible_cm,H_RR,structured (hessian_cm_structured!/_v2! H_CC block),family-specific structured CM Hessian (never dense-G-dependent -- direct bin-index CT accumulation),shared_default (pre-existing; unchanged this task per Goal 12 architecture spec),n/a (only one method, always structured),PASS,no
common_frechet,economic_moment_construction,build_economic_moment_state!,build_economic_moment_state! (compressed_factual_buffer_reuse.jl),shared_all_five,yes,PASS,no
common_frechet,outer_A_gradient,economic_A_gradient! (:shared_inplace_pooled),economic_A_gradient!/EconomicAGradientWorkspace/LFixBaseWorkspace (shared_a_gradient.jl),shared_default (pre-existing this phase),yes,PASS,no
common_frechet,economic_FG,cm_frechet_lookup (CM_FRECHET_INNER_FG_BACKEND_DEFAULT),shared_economic_operator via cm_frechet_lookup dispatch,FLIPPED this session (Goal 3; was :dense_reference),yes (:dense_reference explicit diagnostic backend retained),PASS (D20/W80000/L50 anchored+orthonormal calib+perturbed),no
common_frechet,restriction_FG,cm_frechet_lookup (level-anchor + CM-grid, family-specific),cm_frechet_lookup_kernels.jl,FLIPPED this session (Goal 3),yes,PASS,no
common_frechet,H_EE,exact_winner_pair_parallel,shared winner-pair core Hessian (core_exact_hessian.jl),shared_all_five,yes,PASS,no
common_frechet,H_ER,winner_bin (CM_FRECHET_CROSS_HESSIAN_BACKEND_DEFAULT),winner_pair_cross_hessian_cm_block! (CM-grid, shared w/ flexible-CM) + winner_pair_cross_hessian_colsum!/_esum! (NEW level-anchor Esum block),FLIPPED prior phase (2026-07-27 winner-aware-HER),yes,PASS (D4 114/114 D20 44/44),no
common_frechet,H_RR,structured (hessian_cm_structured!/_v2! H_CC block; level-anchor self-term analytically simple),family-specific structured CM+level Hessian,shared_default (pre-existing; unchanged this task),n/a,PASS,no
cm_plus_zc,economic_moment_construction,build_economic_moment_state!,build_economic_moment_state! (compressed_factual_buffer_reuse.jl),shared_all_five,yes,PASS,no
cm_plus_zc,outer_A_gradient,economic_A_gradient! (:shared),economic_A_gradient!/EconomicAGradientWorkspace/LFixBaseWorkspace (shared_a_gradient.jl),shared_default (pre-existing this phase),yes,PASS,no
cm_plus_zc,economic_FG,operator (CM_MEANZC_INNER_FG_BACKEND_DEFAULT),shared_economic_operator,shared_default (pre-existing),yes (:dense_reference explicit),PASS,no
cm_plus_zc,restriction_FG,operator (mean/pair ZC restriction),family-specific operator (zc_restriction_operator.jl restriction_forward!/_transpose!),shared_default (pre-existing),yes,PASS,no
cm_plus_zc,H_EE,exact_winner_pair_parallel,shared winner-pair core Hessian (core_exact_hessian.jl),shared_all_five,yes,PASS,no
cm_plus_zc,H_ER,winner_bin (H_EC via CM_MEANZC_CM_CROSS_HESSIAN_BACKEND_DEFAULT relaxed guard; H_EZ via CM_MEANZC_ZC_CROSS_HESSIAN_BACKEND_DEFAULT),winner_pair_cross_hessian_cm_block! (H_EC, shared) + winner_pair_cross_hessian_zc_block! (H_EZ, shared w/ origin-ZC) + NEW bin_zc_cross_hessian_fill! (H_CZ),H_EZ flipped prior phase; H_EC guard relaxed + H_CZ NEW this session (Goal 7),yes,PASS (D4 K1/K2 both contrasts; D20 max|dH| 6.4e-13 to 9.0e-13),no (dense_cross_hessian_calls=0 confirmed in isolated production-only run)
cm_plus_zc,H_RR,winner_bin for H_CC (structured, unchanged) + NEW shared direct zc_restriction_gram! for H_ZZ,hessian_cm_structured!/_v2! (H_CC) + zc_restriction_gram! (H_ZZ, NEW, shared w/ ZC-only),H_ZZ NEW this session (Goal 7/8; was obj.H-column-based dense calc),yes (pre-refactor obj.H-column method still reconstructable for comparison, not retained as a live toggle),PASS (folded into H_CZ D20 gate; K_pair=0 smoke PASS),no (raw ZC feature state, not obj.H columns)
zc_only,economic_moment_construction,build_economic_moment_state!,build_economic_moment_state! (compressed_factual_buffer_reuse.jl),shared_all_five,yes,PASS,no
zc_only,outer_A_gradient,economic_A_gradient! (:shared),economic_A_gradient!/EconomicAGradientWorkspace/LFixBaseWorkspace (shared_a_gradient.jl),shared_default (pre-existing this phase),yes,PASS,no
zc_only,economic_FG,operator (ORIGINZC_FG_BACKEND_DEFAULT),shared_economic_operator,shared_default (pre-existing),yes (:dense_reference explicit),PASS,no
zc_only,restriction_FG,operator (mean/pair ZC restriction),family-specific operator (zc_restriction_operator.jl restriction_forward!/_transpose!, shared w/ CM+ZC),shared_default (pre-existing),yes,PASS,no
zc_only,H_EE,exact_winner_pair_parallel,shared winner-pair core Hessian (core_exact_hessian.jl),shared_all_five,yes,PASS,no
zc_only,H_ER,winner_bin (ORIGINZC_ZC_CROSS_HESSIAN_BACKEND_DEFAULT),winner_pair_cross_hessian_zc_block! (shared w/ CM+ZC's H_EZ),FLIPPED prior phase (2026-07-27 winner-aware-HER),yes,PASS (D4 K1/K2 1.6e-15 to 9.1e-13; D20 calib 5.3e-13 near-delta1 2.0e-12),no
zc_only,H_RR,NEW shared direct zc_restriction_gram! for H_ZZ (this family's ONLY restriction self-block),zc_restriction_gram! (H_ZZ, NEW, shared w/ CM+ZC),NEW this session (Goal 8; was obj.H-column-based dense calc),yes,PASS (K_pair=0 smoke; H_ZZ machine-precision match via shared routine's own D4/D20 gates),no (raw ZC feature state, not obj.H columns)
